2112,Boston,MA,42.338947,-70.919635,-5,1
6144,Hartford,CT,41.791776,-72.718832,-5,1
8628,Trenton,NJ,40.264708,-74.82295,-5,1
14219,Buffalo,NY,42.790708,-78.82717,-5,1
15268,Pittsburgh,PA,40.434436,-80.024817,-5,1
19125,Philadelphia,PA,39.978162,-75.12565,-5,1
20075,Washington,DC,38.893311,-77.014647,-5,1
21211,Baltimore,MD,39.328957,-76.63361,-5,1
23228,Richmond,VA,37.621745,-77.48896,-5,1
27619,Raleigh,NC,35.851463,-78.63141,-5,1
29215,Columbia,SC,34.005992,-80.970766,-5,1
30336,Atlanta,GA,33.744007,-84.56032,-5,1
33129,Miami,FL,25.757227,-80.20656,-5,1
35211,Birmingham,AL,33.479306,-86.85878,-6,1
37220,Nashville,TN,36.069659,-86.77266,-6,1
40223,Louisville,KY,38.258941,-85.55574,-5,1
45252,Cincinnati,OH,39.282824,-84.62514,-5,1
46224,Indianapolis,IN,39.795593,-86.25409,-5,0
48207,Detroit,MI,42.352837,-83.02449,-5,1
50311,Des Moines,IA,41.601189,-93.68076,-6,1
53214,Milwaukee,WI,43.020363,-88.01273,-6,1
55425,Minneapolis,MN,44.846765,-93.2449,-6,1
57107,Sioux Falls,SD,43.577696,-96.80101,-6,1
58108,Fargo,ND,46.934596,-97.229718,-6,1
59620,Helena,MT,47.184233,-112.330214,-7,1
60671,Chicago,IL,41.811929,-87.68732,-6,1
63126,Saint Louis,MO,38.552303,-90.37921,-6,1
67216,Wichita,KS,37.619858,-97.31751,-6,1
68103,Omaha,NE,41.291736,-96.171104,-6,1
70144,New Orleans,LA,29.930433,-90.038021,-6,1
72219,Little Rock,AR,34.751918,-92.392487,-6,1
73123,Oklahoma City,OK,35.535989,-97.202331,-6,1
76150,Fort Worth,TX,32.771419,-97.291484,-6,1
78760,Austin,TX,30.326374,-97.771258,-6,1
80250,Denver,CO,39.738752,-104.408349,-7,1
82007,Cheyenne,WY,41.101731,-104.80582,-7,1
83711,Boise,ID,43.459855,-116.243984,-7,1
84151,Salt Lake City,UT,40.668068,-111.908297,-7,1
85041,Phoenix,AZ,33.386995,-112.10076,-7,0
87184,Albuquerque,NM,35.044339,-106.672872,-7,1
89107,Las Vegas,NV,36.171219,-115.21682,-8,1
90047,Los Angeles,CA,33.958464,-118.30998,-8,1
94128,San Francisco,CA,37.621964,-122.39534,-8,1
97269,Portland,OR,45.173284,-122.259861,-8,1
